candidate,fold,inner_prauc,prauc,roc_auc,recall_at_20
RF 균형배깅 (subsample 30%) [S0],10,0.03224982944713804,0.03334976194998316,0.2824561403508772,0.0
ExtraTrees leaf=5 [S0],10,0.03466788103878045,0.03701570048309179,0.35789473684210527,0.0
HGB d=2 lr=.05 it=100 [S0],10,0.04932838148140958,0.0389455622601309,0.356140350877193,0.0
HGB d=3 lr=.05 it=200 [S0],10,0.04481071853196015,0.034500545437262754,0.2842105263157895,0.0
HGB d=2 강한 규제 [S0],10,0.04718842663388828,0.045697820347434456,0.43333333333333335,0.0
SVM RBF [S0],10,0.03546699063558937,0.04550714763186932,0.4771929824561404,0.0
kNN k=15 [S0],10,0.05301695216240701,0.055621976063152535,0.5640350877192983,0.2
Naive Bayes [S0],10,0.03424394044997653,0.039443803315178674,0.39473684210526316,0.0
LogReg L2 C=0.1 [S2],10,0.033948890223328504,0.03948447737408103,0.3894736842105263,0.0
RF leaf=5 [S2],10,0.042199550184794724,0.035588139697398144,0.3280701754385965,0.0
HGB d=2 강한 규제 [S2],10,0.039442735058143566,0.04928079666331471,0.4842105263157894,0.2
LogReg L2 C=0.1 [S3],10,0.03571159810364782,0.05494921455084663,0.5473684210526316,0.0
RF leaf=5 [S3],10,0.03935158121871103,0.03383824731735431,0.2929824561403509,0.0
HGB d=2 강한 규제 [S3],10,0.0416299839424876,0.05551586317120298,0.5105263157894737,0.2
LogReg L2 C=0.01 [S0],11,0.046333087448265683,0.051877534401806244,0.4743362831858407,0.0
LogReg L2 C=0.1 [S0],11,0.04030220862767328,0.04807187425628383,0.4920353982300885,0.0
LogReg L2 C=1 [S0],11,0.0352158677338274,0.04561529241549526,0.4690265486725664,0.0
LogReg L1 C=0.05 [S0],11,0.05135303033477006,0.04757201261874159,0.46194690265486726,0.0
LogReg L1 C=0.3 [S0],11,0.03629470324598514,0.05174635356723922,0.5026548672566371,0.0
RF leaf=1 [S0],11,0.037181722239195934,0.15865262792582716,0.5893805309734513,0.4
RF leaf=5 [S0],11,0.03456741308118776,0.10616883116883116,0.6123893805309735,0.4
RF leaf=20 [S0],11,0.03709395519678897,0.07194250194250196,0.5327433628318584,0.4
RF 균형배깅 (subsample 30%) [S0],11,0.05350670750140624,0.08220516124069766,0.5451327433628319,0.4
ExtraTrees leaf=5 [S0],11,0.03700795539326582,0.06798329903929018,0.6247787610619469,0.2
HGB d=2 lr=.05 it=100 [S0],11,0.037598483735703694,0.07042417506813792,0.5893805309734513,0.2
HGB d=3 lr=.05 it=200 [S0],11,0.04228566921728362,0.07313965911349632,0.5309734513274337,0.2
HGB d=2 강한 규제 [S0],11,0.04172041162453937,0.07417867846439276,0.6230088495575221,0.2
SVM RBF [S0],11,0.052880269347491606,0.0327004991220116,0.2584070796460177,0.0
kNN k=15 [S0],11,0.0419785576092091,0.1292857142857143,0.7716814159292036,0.2
Naive Bayes [S0],11,0.04048630940932108,0.10391414141414143,0.5610619469026549,0.4
LogReg L2 C=0.1 [S2],11,0.03424131536191494,0.05127589077589077,0.47079646017699117,0.2
RF leaf=5 [S2],11,0.028217218734670986,0.1472870879120879,0.5946902654867257,0.4
HGB d=2 강한 규제 [S2],11,0.032448710696177115,0.24842156492704687,0.5681415929203539,0.4
LogReg L2 C=0.1 [S3],11,0.03687366936998605,0.04722554873682074,0.4743362831858407,0.2
RF leaf=5 [S3],11,0.0288100959882202,0.09682811819092588,0.5646017699115045,0.2
HGB d=2 강한 규제 [S3],11,0.03307502819890582,0.062480926719302894,0.552212389380531,0.2
LogReg L2 C=0.01 [S0],12,0.03968584076515322,0.048091123552301246,0.488495575221239,0.0
LogReg L2 C=0.1 [S0],12,0.0440738531750888,0.049588734755283304,0.4849557522123894,0.0
LogReg L2 C=1 [S0],12,0.043833968069052334,0.0511144883485309,0.49203539823008846,0.2
LogReg L1 C=0.05 [S0],12,0.046563879936690165,0.060971655889986195,0.5982300884955752,0.2
LogReg L1 C=0.3 [S0],12,0.047299219790997805,0.05204362104661955,0.5150442477876106,0.0
RF leaf=1 [S0],12,0.04375331935907742,0.04132635281235486,0.3911504424778761,0.2
RF leaf=5 [S0],12,0.040337938084223084,0.04539112330097781,0.4495575221238938,0.2
RF leaf=20 [S0],12,0.04602363397220642,0.039246984899158815,0.35929203539823007,0.2
RF 균형배깅 (subsample 30%) [S0],12,0.0470543844455319,0.041632015461713176,0.41061946902654867,0.0
ExtraTrees leaf=5 [S0],12,0.03981662808912566,0.05038188988332459,0.48672566371681414,0.0
HGB d=2 lr=.05 it=100 [S0],12,0.04616495420434702,0.04151372943920457,0.41415929203539825,0.0
HGB d=3 lr=.05 it=200 [S0],12,0.049589469546864315,0.06167384360981757,0.5716814159292035,0.2
